"","Eastern_Conference","W","L","W/L_percent","GB","PS/G","PA/G","SRS","Year"
"1","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division",2000
"2","Miami Heat*","52","30",".634","—","94.4","91.3","2.75",2000
"3","New York Knicks*","50","32",".610","2.0","92.1","90.7","1.30",2000
"4","Philadelphia 76ers*","49","33",".598","3.0","94.8","93.4","1.02",2000
"5","Orlando Magic","41","41",".500","11.0","100.1","99.4","0.43",2000
"6","Boston Celtics","35","47",".427","17.0","99.3","100.1","-1.00",2000
"7","New Jersey Nets","31","51",".378","21.0","98.0","99.0","-1.18",2000
"8","Washington Wizards","29","53",".354","23.0","96.6","99.9","-3.47",2000
"9","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division",2000
"10","Indiana Pacers*","56","26",".683","—","101.3","96.7","4.15",2000
"11","Charlotte Hornets*","49","33",".598","7.0","98.4","95.8","2.33",2000
"12","Toronto Raptors*","45","37",".549","11.0","97.2","97.3","-0.46",2000
"13","Detroit Pistons*","42","40",".512","14.0","103.5","102.0","1.13",2000
"14","Milwaukee Bucks*","42","40",".512","14.0","101.2","101.0","-0.06",2000
"15","Cleveland Cavaliers","32","50",".390","24.0","97.0","100.5","-3.64",2000
"16","Atlanta Hawks","28","54",".341","28.0","94.3","99.7","-5.41",2000
"17","Chicago Bulls","17","65",".207","39.0","84.8","94.2","-9.23",2000
"18","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division",2001
"19","Philadelphia 76ers*","56","26",".683","—","94.7","90.4","3.64",2001
"20","Miami Heat*","50","32",".610","6.0","88.9","86.6","1.73",2001
"21","New York Knicks*","48","34",".585","8.0","88.7","86.1","1.98",2001
"22","Orlando Magic*","43","39",".524","13.0","97.5","96.5","0.39",2001
"23","Boston Celtics","36","46",".439","20.0","94.6","96.8","-2.40",2001
"24","New Jersey Nets","26","56",".317","30.0","92.1","97.1","-5.30",2001
"25","Washington Wizards","19","63",".232","37.0","93.2","99.9","-6.75",2001
"26","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division",2001
"27","Milwaukee Bucks*","52","30",".634","—","100.7","96.9","3.14",2001
"28","Toronto Raptors*","47","35",".573","5.0","97.6","95.4","1.69",2001
"29","Charlotte Hornets*","46","36",".561","6.0","91.9","89.8","1.45",2001
"30","Indiana Pacers*","41","41",".500","11.0","92.6","92.8","-0.77",2001
"31","Detroit Pistons","32","50",".390","20.0","95.6","97.3","-2.08",2001
"32","Cleveland Cavaliers","30","52",".366","22.0","92.2","96.5","-4.48",2001
"33","Atlanta Hawks","25","57",".305","27.0","91.0","96.2","-5.55",2001
"34","Chicago Bulls","15","67",".183","37.0","87.6","96.7","-9.09",2001
"35","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division",2002
"36","New Jersey Nets*","52","30",".634","—","96.2","92.0","3.67",2002
"37","Boston Celtics*","49","33",".598","3.0","96.4","94.1","1.75",2002
"38","Orlando Magic*","44","38",".537","8.0","100.5","98.9","1.25",2002
"39","Philadelphia 76ers*","43","39",".524","9.0","91.0","89.4","1.27",2002
"40","Washington Wizards","37","45",".451","15.0","92.8","94.2","-1.58",2002
"41","Miami Heat","36","46",".439","16.0","87.2","88.7","-1.84",2002
"42","New York Knicks","30","52",".366","22.0","91.6","95.6","-4.15",2002
"43","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division",2002
"44","Detroit Pistons*","50","32",".610","—","94.3","92.2","1.69",2002
"45","Charlotte Hornets*","44","38",".537","6.0","93.9","92.9","0.57",2002
"46","Toronto Raptors*","42","40",".512","8.0","91.4","91.8","-0.71",2002
"47","Indiana Pacers*","42","40",".512","8.0","96.8","96.5","-0.07",2002
