"","Western_Conference","W","L","W/L_percent","GB","PS/G","PA/G","SRS","Year"
"1","Midwest Division","Midwest Division","Midwest Division","Midwest Division","Midwest Division","Midwest Division","Midwest Division","Midwest Division",2000
"2","Utah Jazz*","55","27",".671","—","96.5","92.0","4.52",2000
"3","San Antonio Spurs*","53","29",".646","2.0","96.2","90.2","5.92",2000
"4","Minnesota Timberwolves*","50","32",".610","5.0","98.5","96.0","2.67",2000
"5","Dallas Mavericks","40","42",".488","15.0","101.4","102.0","-0.29",2000
"6","Denver Nuggets","35","47",".427","20.0","99.0","101.1","-1.76",2000
"7","Houston Rockets","34","48",".415","21.0","99.5","100.3","-0.57",2000
"8","Vancouver Grizzlies","22","60",".268","33.0","93.9","99.5","-5.10",2000
"9","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division",2000
"10","Los Angeles Lakers*","67","15",".817","—","100.8","92.3","8.41",2000
"11","Portland Trail Blazers*","59","23",".720","8.0","97.5","91.0","6.36",2000
"12","Phoenix Suns*","53","29",".646","14.0","98.9","93.7","5.24",2000
"13","Seattle SuperSonics*","45","37",".549","22.0","99.1","98.1","1.17",2000
"14","Sacramento Kings*","44","38",".537","23.0","105.0","102.0","3.04",2000
"15","Golden State Warriors","19","63",".232","48.0","95.5","103.8","-7.63",2000
"16","Los Angeles Clippers","15","67",".183","52.0","92.0","103.5","-10.73",2000
"17","Midwest Division","Midwest Division","Midwest Division","Midwest Division","Midwest Division","Midwest Division","Midwest Division","Midwest Division",2001
"18","San Antonio Spurs*","58","24",".707","—","96.2","88.4","7.92",2001
"19","Utah Jazz*","53","29",".646","5.0","97.1","92.4","5.00",2001
"20","Dallas Mavericks*","53","29",".646","5.0","100.5","96.2","4.61",2001
"21","Minnesota Timberwolves*","47","35",".573","11.0","97.3","96.0","1.81",2001
"22","Houston Rockets","45","37",".549","13.0","97.2","94.9","2.71",2001
"23","Denver Nuggets","40","42",".488","18.0","96.6","99.0","-1.83",2001
"24","Vancouver Grizzlies","23","59",".280","35.0","91.7","97.5","-4.94",2001
"25","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division",2001
"26","Los Angeles Lakers*","56","26",".683","—","100.6","97.2","3.74",2001
"27","Sacramento Kings*","55","27",".671","1.0","101.7","95.9","6.07",2001
"28","Phoenix Suns*","51","31",".622","5.0","94.0","91.8","2.63",2001
"29","Portland Trail Blazers*","50","32",".610","6.0","95.4","91.2","4.52",2001
"30","Seattle SuperSonics","44","38",".537","12.0","97.3","97.3","0.55",2001
"31","Los Angeles Clippers","31","51",".378","25.0","92.5","95.3","-2.23",2001
"32","Golden State Warriors","17","65",".207","39.0","92.5","101.5","-8.11",2001
"33","Midwest Division","Midwest Division","Midwest Division","Midwest Division","Midwest Division","Midwest Division","Midwest Division","Midwest Division",2002
"34","San Antonio Spurs*","58","24",".707","—","96.7","90.5","6.28",2002
"35","Dallas Mavericks*","57","25",".695","1.0","105.2","101.0","4.41",2002
"36","Minnesota Timberwolves*","50","32",".610","8.0","99.3","96.0","3.58",2002
"37","Utah Jazz*","44","38",".537","14.0","96.0","95.1","1.21",2002
"38","Houston Rockets","28","54",".341","30.0","92.3","97.2","-4.31",2002
"39","Denver Nuggets","27","55",".329","31.0","92.2","98.0","-5.19",2002
"40","Memphis Grizzlies","23","59",".280","35.0","89.9","97.3","-6.74",2002
"41","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division","Pacific Division",2002
"42","Sacramento Kings*","61","21",".744","—","104.6","97.0","7.61",2002
"43","Los Angeles Lakers*","58","24",".707","3.0","101.3","94.1","7.15",2002
"44","Portland Trail Blazers*","49","33",".598","12.0","96.6","93.7","3.21",2002
"45","Seattle SuperSonics*","45","37",".549","16.0","97.7","94.7","3.24",2002
"46","Los Angeles Clippers","39","43",".476","22.0","95.7","96.1","-0.09",2002
"47","Phoenix Suns","36","46",".439","25.0","95.1","95.8","-0.30",2002
"48","Golden State Warriors","21","61",".256","40.0","97.7","103.1","-4.80",2002
"49","Midwest Division","Midwest Division","Midwest Division","Midwest Division","Midwest Division","Midwest Division","Midwest Division","Midwest Division",2003
"50","San Antonio Spurs*","60","22",".732","—","95.8","90.4","5.65",2003
"51","Dallas Mavericks*","60","22",".732","—","103.0","95.2","7.90",2003
"52","Minnesota Timberwolves*","51","31",".622","9.0","98.1","96.0","2.46",2003
"53","Utah Jazz*","47","35",".573","13.0","94.7","92.3","2.76",2003
"54","Houston Rockets","43","39",".524","17.0","93.8","92.3","1.89",2003
"55","Memphis Grizzlies","28","54",".341","32.0","97.5","100.7","-2.60",2003
"56","Denver Nuggets","17","65",".207","43.0","84.2","92.4","-7.41",2003
